No	English	added	all	arm	back	barley	beautiful	bed	belt	big	black
121	Harari	ħammisti1	ʔagǝňǝ1	ħarat1	ʔaazyǝgǝdu6	ğumʔa2	ʔanќuraaraħ	mulluʔ1	tumma2	waala5	daw3
122	Inor	ʔammɨst1	nǝkǝβǝ2	ʔǝrbʔat1	ʔɨngwǝrǝgɨy	ğɨmʔat2	ќončǝ2	murʔa1	tuma2	ʔǝtǝʔut1	fǝňǝʔ1
123	Kistane	ʔammɨst1	ʔagǝňňo1	ʔarat1	sǝrǝndida7	ʔaddarǝ3	ќolǝčǝ2	mula1	tumma2	wǝgfɨr6	fɨyyǝl1
124	Mesqan	ʔammɨst1	rǝkkǝbǝ2	ʔarbǝtt1	yǝgwǝrǝgyǝ5	ʔaddarǝ3	ќwǝčǝ2	mula1	tumma2	wǝgfɨr6	feќ1
125	Muher	ʔammɨst1	ʔagǝňňǝm1	ʔarbǝt1	ќǝwǝrǝ1	ʔaddarǝ3	ќolǝčǝ2	mwǝy1	tumma2	wǝte1	fǝňňǝʔǝ1
126	Oromo	šan2	ʔarge3	ʔafur2	deeğallo2	ğimma2	raačča2	gutuu2	ќullubi3	ɗiise7	reʔe4
127	Silt'e	ʔammɨst1	rǝkǝbǝ2	ʔarat1	zǝgǝdo6	ğimat2	ʔɨnќurarit1	mulla1	tumma2	ʔɨdǝgot8	feќ1
128	Tigre	hamɨs1	rǝkbǝ2	ʔarbǝʕǝ1	ħašil4	ğɨmat2	ʔɨnќɨrʕob1	mɨluʔ1	tom2	ʔɨbɨl9	nǝggǝlǝt
129	Tigrigna	ħammuŠt	sǝrǝtǝ4	ʔarbaʕtǝ1	wǝxariya3	ʕarbi1	ʔɨnЌurarit1	mɨluʔ1	śaʕɨdaŠɨngʷur	gɨdǝf10	t'ʸəl2
130	Wolane	ʔammɨst1	rǝhaabǝ2	ʔarat1	wǝlǝngaaya	ğimat2	ʔɨnќurarit1	mulli1	tummǝ2	ʔadǝgǝ8	feќ1
131	Zway	ʔammɨst1	gaaňi1	ʔarǝt1	ğeedaalǝ2	ğimǝt2	ʔɨnќurarit1	muli1	tumǝ2	ʔadǝgǝ8	fiќ1
132	English	griddle	hair	he	head	heart	helped	hen	his	horse	hot
133	Amharic	mɨťad1	śǝgur1	ʔɨssu1	ras1	lɨbb1	ʔaggǝzǝ1	doro1	yǝssu1	fǝrǝs1	muќ1
134	Argobba	mɨťad1	čɨgar1	kɨsu1	dɨma2	lɨbi1	haggǝza1	doro1	ʔiwwat2	fǝrǝs1	muќina1
135	Chaha	mɨdad1	gunǝr2	hut2	gunǝr3	xɨn2	ʔagǝzǝm1	kutǝra2	yǝhut2	fǝrǝz1	yǝmwǝќǝ
136	Endegag	mɨťad1	gunʔǝr2	hudǝ2	ʔɨras1	xin2	ʔepǝrǝ2	ʔungoroʔ1	ʔɨhud2	fǝrǝz1	mwoќ1
137	Ezha	mɨdad1	gunnǝr2	hut2	gunnǝr3	xɨnn2	ʔaggǝzǝm1	kuttǝra2	yǝxut2	fǝrǝz1	mwoќ1
138	Ge'ez	gǝbǝta2	śǝgwr1	wɨʔɨtu2	rɨʔɨs1	lɨbb1	ħǝgǝzǝ1	dorho1	ziʔahu3	fǝrǝs1	mɨwɨќ1
139	Gogot	mɨdad1	gunnǝn2	kwa3	gunnǝn3	lɨbb1	ʔaggǝzǝm1	kuttǝna2	kut2	fǝrǝz1	muќ1
140	Gumer	mɨdad1	gunǝr2	xut2	gunǝr3	xyɨn2	ʔagǝzǝm1	kuttara2	yǝxut2	fǝrǝz1	mwǝќ1
141	Gura	mɨdad1	gunǝr2	hut2	gunǝr3	xɨn2	ʔagǝzǝm1	kutara2	yahut2	fǝrǝz1	mwǝќ1
142	Gyeto	mɨdad1	gunʔǝr2	xuta2	gunʔǝr3	xin2	mwasǝ3	kutara2	ʔɨxwta2	fǝrǝz1	moќ1
143	Harari	mɨťaad1	ćɨgǝr1	azzo4	ʔuruus1	ќǝlbi1	girgaara4	ʔatǝwaaќ3	ziyu3	fǝrǝz1	wɨy2
144	Inor	mɨdad1	gunʔǝr2	huda2	gunʔǝr3	ʔanǝ2	ʔepǝrǝ2	kutara2	ʔɨhuda2	fǝrǝz1	mwoќ1
145	Kistane	mɨťad1	gunnǝn2	kwa3	gunnǝn3	lɨbb1	ʔǝrǝddam5	ğǝra4	yǝkwa2	fǝrǝz1	yǝmoќǝ1
146	Mesqan	mɨdad1	gunnǝn2	huti2	gunnǝn3	hin2	ʔaggǝzǝ1	kuttǝna2	yǝhuti2	fǝrǝz1	yǝmwǝќǝ1
147	Muher	mɨdad1	gunnǝn2	xwa3	gunnǝn3	lɨbb1	ʔǝrǝddam5	kuttǝna2	yǝxwa2	fǝrǝz1	mwǝʔ1
148	Oromo	ќibaaba3	rifeensa3	ʔisa1	mataa4	ʔonnee2	gargaare4	handaaќќo3	kanisaa5	farda1	hoʔaa3
149	Silt'e	mɨťad1	dum4	ʔuha3	dum2	wǝzǝnǝ3	ʔagǝzǝ1	ʔɨnčaќo3	yuha2	fǝrǝz1	muќ1
150	Tigre	gǝbǝta2	ćǝggǝrǝt1	hɨtu2	rǝʔas1	lɨbb1	rǝdɨʔa5	dǝrho1	tu4	fǝrǝs1	ħɨfun4
151	Tigrigna	nɨgogo4	sǝguri1	nɨssu1	rɨʔsi1	lɨbbi1	ħagǝzǝ1	dǝrho1	natu4	fǝrǝs1	wuʕuy2
152	Wolane	mɨtad1	dumi4	ʔuhǝ3	dumi2	wǝzaan3	ʔagǝzǝ1	ʔɨnćaќo3	yuhǝ2	fǝrǝz1	muќamuќ1
153	Zway	mɨtad1	tɨgǝr1	ʔut2	ʔahǝr1	wǝzǝnǝ3	ќuubanhaano7	ʔɨnťaaќ3	yaawɨti2	fǝrǝz1	muuќ1
154	English	how	hundred	hyena	insult (v)	job	joke (n)	king	leg	lentil	lion
155	Amharic	ʔɨndet1	mǝto1	ğɨb1	sǝddǝbǝ1	sɨra1	ќǝld1	nɨgus1	ʔɨgɨr1	mɨssɨr1	ʔambǝssa1
